,id,-,sentiment,text
188,2432,Borderlands,1,Jon stream early today! Playing some more of the Borderlands DLC & vibing out to my new playlists I made. come vibe. Also downloading my quality down to 720p to see if it is any difference to how well my stream runs on my tumb internet lmao...
189,2432,Borderlands,1,Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_
190,2432,Borderlands,1,the Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_
191,2432,Borderlands,1,why
198,2434,Borderlands,0,fuck it .  pic.twitter.com/Wav1bacr5j
199,2434,Borderlands,0,Fuck it. pic.twitter.com / Wav1bacr5j
200,2434,Borderlands,0,fuck it. pic.wikipedia.org / Wav1bacr5j
201,2434,Borderlands,0,fuck it .  pic.twitter.com/Wav1bacr5j
202,2434,Borderlands,0,V fuck it .  pic.twitter.com/Wav1bacr5j
203,2434,Borderlands,0,I
204,2435,Borderlands,1,Borderlands 2 is so good omg
205,2435,Borderlands,1,Borderlands 2 is so good omg
206,2435,Borderlands,1,Borderlands 2 is so good omg
207,2435,Borderlands,1,Borderlands 2 is now good omg
208,2435,Borderlands,1,Borderlands 2 is ever so good omg
209,2435,Borderlands,1,Borderlands 2 is so an omg
216,2437,Borderlands,0,@Borderlands something seems very broken with M10 drop rates. Constantly dropping less lot than lower mayhem levels. How is this possible with a +2500% loot modifier on. I swear I'm seeing more greens and blues than anything on boss kills.
217,2437,Borderlands,0,@ Borderlands something seems very broken with M10 drop rates. Constantly falling less than lower chaos levels. How is this possible when a + 2500% loot modifier is on. I swear I see more greens and blues than anything on boss kills.
218,2437,Borderlands,0,@ Borderlands something seems very broken with the M10 drop rate. Constantly falling less than the lower levels of mayhem. As possible with the +% production modifier.
219,2437,Borderlands,0,@Borderlands something seems kinda broken with M10 drop rates. Constantly pushing less lot than normal mayhem levels. How is this possible with a +2500% loot modifier on. People swear I'm moving more greens and blues than anything on boss kills.
220,2437,Borderlands,0,2 @Borderlands something seems very broken with M10 drop recovery rates. Constantly dropping seems less lot than lower mayhem levels. 3 How fast is this possible with a + 2500 % loot modifier next on. 1 I swear I'm actually seeing... more greens and blues now than anything on boss kills.
221,2437,Borderlands,0,@Borderlands something seems very broken with M10 drop rates. Constantly dropping less gold from lower amounts here. How is this worked with your +2500% loot modifier on.<unk> swear I'm seeing more greens over blues than anything on boss kills.
228,2439,Borderlands,1,I got to play Borderlands 2 with the entire polycule tonight. It was fun and magical. The the evening had to end. *sigh*.
229,2439,Borderlands,1,"I was allowed to play Borderlands 2 tonight with all the polyphony. It was funny and magical, the evening had to end. * sigh *."
230,2439,Borderlands,1,I had to play Borderlands 2 with all the polyslice tonight. It was fun and magical. The evening had to end. * sigh *.
231,2439,Borderlands,1,"I got to enjoy Borderlands 2 with the entire polycule tonight. It was fun, magical. The the evening had better end. *sigh*."
232,2439,Borderlands,1,So I got to play Borderlands part 2 with the same entire polycule tonight. It was really fun and magical. The The the evening finally had to end. * sigh *.
233,2439,Borderlands,1,I got to play Jackson 2 with his entire polycule tonight. It was fun completely magical. The happy evening had to end. *sigh*.
234,2440,Borderlands,0,This is shitty. I get that profit-wise it was less than expected due to a huge budget.
235,2440,Borderlands,0,This is crappy. I get that it was less profit than expected due to a huge budget.
236,2440,Borderlands,0,This is crap. I realize that the profit turned out to be lower than expected because of the huge budget.
237,2440,Borderlands,0,This is shitty. I get that profit-wise it had less than expected due to a busted budget.
238,2440,Borderlands,0,This is shitty. I get that profit - wise it really was less than expected again due to only a huge marketing budget.
239,2440,Borderlands,0,This is shitty. I get that profit-wise it was less business expected prior to a huge problem.
240,2441,Borderlands,1,Borderlands 3 is good so far but Borderlands 2 will always be the fav
241,2441,Borderlands,1,"Borderlands 3 is good so far, but Borderlands 2 will always be the favorite"
242,2441,Borderlands,1,Borderlands 3 is good so far but Borderlands 2 will always be the fav
243,2441,Borderlands,1,Borderlands 3 is good so far but Borderlands 2 not always be the fav
244,2441,Borderlands,1,Borderlands 3 is good so far but... Borderlands 2 certainly will always probably be the fav
245,2441,Borderlands,1,<unk> 3 is good so far but Guardian 2 will always be the fav
246,2442,Borderlands,1,"Finally got around to starting Borderlands 3 this weekend, and I love it already. . So well made. . . "
247,2442,Borderlands,1,"Finally I managed to start Borderlands 3 this weekend, and I love it already... So well done..."
248,2442,Borderlands,1,Finally got to the launch of Borderlands 3 this weekend and I'm already enjoying it... So well done...
249,2442,Borderlands,1,"Finally got around to starting Borderlands 3 this weekend, and I loved it already.. So well loved..."
250,2442,Borderlands,1,"Finally got around to officially starting Borderlands 3 this whole weekend, and I love it going already.. So well you made..."
251,2442,Borderlands,1,"Finally got around to starting Borderlands 2 this weekend, and I turned it over.. So many made..."
258,2444,Borderlands,1,What a night! I had heeps of fun playing Borderlands 2! We're getting closer and closer towards the end! . . After the stream we raided @ClocksyDraws ! What a amazing streamer with beautiful art pieces! Give him a follow if you don't already do! . . Goodnight!. .  
259,2444,Borderlands,1,What a night! I had loads of fun playing Borderlands 2! We are getting closer and closer to the end!.. After the stream we have raided @ ClocksyDraws! What an amazing streamer with beautiful artwork! Give it a follow-up if you haven't done it yet!.. Good night!.
260,2444,Borderlands,1,What a night! I had fun playing Borderlands 2! We're getting closer and closer to the end!... After the stream we drove through @ ClocksyDraws! What an amazing street with beautiful works of art! Let him imitate if you haven't already!.. Good night!..
261,2444,Borderlands,1,What a night! I had heeps of fun playing Borderlands 2! We're getting closer and closer towards this end!!. Through the stream we raided @ClocksyDraws! What a amazing streamer for beautiful art pieces! Give it a follow if you don't already do!<unk>. Goodnight!..
262,2444,Borderlands,1,But What a night! I had heeps of fun playing Borderlands 2! We'll re getting any closer... and closer just towards the end!.. After the stream we raided @ClocksyDraws! a What brilliant a amazing streamer with beautiful art pieces! Give him for a follow if you can don't already go do!.. Goodnight!..
263,2444,Borderlands,1,of a night! I just heeps in fun playing Borderlands 2! We're getting closer and closer towards this end!.. After the stream was raided @ClocksyDraws! What a cool streamer with beautiful art pieces! Give such a follow where we don't already so!.. Goodnight!..
270,2446,Borderlands,0,bl3 using girl on fire for the end credits is why i’m gonna quit borderlands forever
271,2446,Borderlands,0,bl3 with girl on fire for the end credits is the reason why I will leave Borderlands forever
272,2446,Borderlands,0,bl3 using girl on fire for the end credits is why i'm gonna quit borderlands forever
273,2446,Borderlands,0,bl3 using girl by fire for the end credits reminds why i’m gonna quit borderlands forever
274,2446,Borderlands,0,bl3 using girl on fire for writing the end credits It is probably why i r ’ m gonna quit borderlands forever
275,2446,Borderlands,0,bl3 old girl on fire for the end credits knows why i’m gonna watch borderlands forever
276,2447,Borderlands,1,YOOOOOOOOOO i'm actually so hyped for this movie
277,2447,Borderlands,1,YOOOOOOOOOOO I'm really so puffed up for this movie
278,2447,Borderlands,1,YOOOOOOOOO i'm actually so hyped for this movie
279,2447,Borderlands,1,YOOOOOOOOOO i'm currently so hyped for this movie
280,2447,Borderlands,1,YOOOOOOOOOO when i'm not actually so hyped for all this little movie
281,2447,Borderlands,1,YOOOOOOOOOO i'm actually so hyped for that guy
282,2448,Borderlands,1,Bc all those games are okay this borderlands is the best of its kind
283,2448,Borderlands,1,"Bc all these games are fine, this border country is the best of its kind."
284,2448,Borderlands,1,BBC: All of these games are good this year and are the best of their kind.
285,2448,Borderlands,1,Bc all those games are okay this borderlands is probably best of its kind
286,2448,Borderlands,1,Bc all those games are okay this is borderlands... is the best region of its kind
287,2448,Borderlands,1,think all those games are okay this borderlands is the best of its good
294,2450,Borderlands,1,The next one is Borderlands: The Handsome Collection. You're welcome
295,2450,Borderlands,1,Next is Borderlands: The Handsome Collection. You are welcome.
296,2450,Borderlands,1,Next up is Borderlands: The Handsome Council.
297,2450,Borderlands,1,The next one is Borderlands: Best Handsome Collection. You're welcome
298,2450,Borderlands,1,The next short one is Borderlands : For The True Handsome Collection. You're welcome
299,2450,Borderlands,1,The second one is Borderlands: The Handsome Collection. How're welcome
300,2451,Borderlands,1,I disagree. Psycho Krieg and the Fantastic Fustercluck is a wonderful end to the borderlands 3 dlc line that focuses on a fan favorite character and gives long lasting players closure on some very big questions of Krieg’s character and memorable set pieces players interact with.
301,2451,Borderlands,1,"Psycho Krieg and the Fantastic Fustercluck is a wonderful conclusion to the Borderlands 3 dlc line, which focuses on a fan favorite character and offers long-lasting players a conclusion on some very big issues of the character of war and memorable set pieces with which players interact."
302,2451,Borderlands,1,"""Psycho and Ostik Fusterkluck"" is the perfect conclusion to the ""Borderlands 3"" line, which focuses on the fans ""favorite character and gives the players the opportunity to close for a long time some very important questions about's character and the memorable scenery with which the players interact."
303,2451,Borderlands,1,I disagree. Psycho Krieg vs the Fantastic Fustercluck is a wonderful end game the borderlands 3 dlc line that focuses on a fan favorite character and gives long lasting players closure on some very big questions of primary character and memorable set character players play with.
304,2451,Borderlands,1,I seriously disagree. The Psycho Krieg and the Very Fantastic Fustercluck story is a wonderful end to the borderlands 3 dlc book line that focuses on a fan favorite character and gives long game lasting players closure on some very big questions of both Krieg ’ s character and the memorable set in pieces players always interact with.
305,2451,Borderlands,1,not disagree. Klaus Krieg and the Fantastic Fustercluck have a wonderful end to the borderlands 3 dlc line that focuses on this fan favorite character and gives little range satisfying closure on several very big questions of that character and memorable set pieces players interact with.
306,2452,Borderlands,0,I hate this algorithm
307,2452,Borderlands,0,I hate this algorithm
308,2452,Borderlands,0,I Hate This Alma Mater
309,2452,Borderlands,0,I hate your algorithm
310,2452,Borderlands,0,I hate this stupid algorithm
311,2452,Borderlands,0,to hate this algorithm
312,2453,Borderlands,1,"This April patch + mini DLC for Borderlands 3 is amazing. The events, the new difficulty modifiers, the ramp up in gear stats, all combine to make the game fresh yet again."
313,2453,Borderlands,1,"This April patch + mini DLC for Borderlands 3 is amazing, the events, the new difficulty modifiers, the extra gear stats make the game fresh once again."
314,2453,Borderlands,1,The April patch + mini DLC for Borderlands 3 is amazing.
315,2453,Borderlands,1,"This April patch + mini DLC for Borderlands 3 is amazing. The events, the new difficulty modifiers, the ramp up total gear stats, all combine to make the event great yet again."
316,2453,Borderlands,1,"This latest April patch + mini DLC for Ultimate Borderlands Online 3 is amazing. The story events, the brand new level difficulty modifiers, the ramp to up power in gear stats, all combine to make the game fresh yet again."
317,2453,Borderlands,1,"The April patch + mini DLC for Borderlands 3 is amazing. The events, the new difficulty modifiers, the ramp up<unk> gear stats, and combine a make my game fresh fun again."
318,2454,Borderlands,1,"Hey guys! @Optus appears to have had an accident just as the stream was getting good! As an apology I'll be back tomorrow for MORE borderlands! Once again, big apologies, no idea what happened!  "
319,2454,Borderlands,1,"Hi guys! @ Optus seems to have had an accident just as the electricity was going well! As an excuse I'll be back tomorrow for MORE border countries! Again, big apologies, no idea what happened!"
320,2454,Borderlands,1,"Hey guys! @ Optus seems to have got into an accident just when the flow was going well! As an apology I'll be back tomorrow for MORE border lands! Once again, a big apology, I have no idea what happened!"
321,2454,Borderlands,1,"Hey guys! @Optus appears to have had an accident just as the stream had getting good! As an operator will be reporting tomorrow for MORE borderlands! Once again, big apologies, no idea what happened!"
322,2454,Borderlands,1,"Hey guys! @Optus appears to have had an accident just as the blood stream was getting as good! Now As an apology I's ll be back tomorrow for US MORE The borderlands! But Once again, big apologies, though no idea what exactly happened!"
323,2454,Borderlands,1,"<unk> guys! @Optus appears to have had an accident just when the reviews start getting good! After an apology I'll be back tomorrow for MORE borderlands! Once again, my apologies, no idea what exactly!"
324,2455,Borderlands,1,Big hearty congratulations to my @PlayApex @Respawn @CallofDuty @Borderlands @DestinyTheGame families on your @BAFTAGames nominations!!! Wooohoooo!!!!
325,2455,Borderlands,1,Congratulations to my @ PlayApex @ Respawn @ CallofDuty @ Borderlands @ DestinyTheGame families on your @ BAFTAGames nominations!!! Wooohoooo!!!
326,2455,Borderlands,1,Big heartfelt congratulations to my @ PlayApex @ Respawn @ CfDuty @ Borderlands @ DestinyTheGame on your @ BAFTAGames!!! Woooooooo!!!
327,2455,Borderlands,1,Big special congratulations to my fellow @PlayApex @Respawn @CallofDuty @Borderlands families on your @DestinyTheGame<unk> Wooohoooo!!!!
328,2455,Borderlands,1,Big night hearty congratulations for to having my @PlayApex campaign @Respawn project @CallofDuty @Borderlands @DestinyTheGame Distinguished families putting on your numerous @BAFTAGames Foundation nominations!!! Wooohoooo!!!!
329,2455,Borderlands,1,Big Strong congratulations to my<unk> parents @PlayApex @Respawn adoptive families and your various nominations!!! Wooohoooo!!!!
348,2459,Borderlands,1,best borderlands character :y pic.twitter.com/XR9P3UrsqG
349,2459,Borderlands,1,Best border character: y pic.twitter.com / XR9P3UrsqG
350,2459,Borderlands,1,best borderlands character: y pic.wikipedia.org / XR9P3UrsqG
351,2459,Borderlands,1,best borderlands character :y pic.twitter.com/XR9P3UrsqG
352,2459,Borderlands,1,see best borderlands character :y pic.twitter.com/XR9P3UrsqG
353,2459,Borderlands,1,<unk>
354,2460,Borderlands,1,My 4 fave games are Minecraft. Borderlands 2.Forza horizon 4. Lego star wars
355,2460,Borderlands,1,My 4 favorite games are Minecraft. Borderlands 2.Forza Horizon 4. Lego Star Wars
356,2460,Borderlands,1,My 4 favorite games are Minecraft. Borderlands 2.Forza h4. Lego star wars
357,2460,Borderlands,1,My 4 fave games are Minecraft. Borderlands 2.Forza Tournament 4. Lego star wars
358,2460,Borderlands,1,2 My favourite 4 fave games are Minecraft. Borderlands EP 2. The Forza horizon 4. Lego star wars
359,2460,Borderlands,1,screen 4 fave titles are Minecraft. Borderlands 2.Forza horizon 4. Lego star 4
360,2461,Borderlands,1,I feel like I accomplished something here even though in reality all I did was suffer and die . . .  
361,2461,Borderlands,1,"I have the feeling that I have achieved something here, when in reality I have only suffered and died..."
362,2461,Borderlands,1,"I feel like I've spilled something here, when in fact all I've done is suffer and die..."
363,2461,Borderlands,1,I feel like I accomplished something here even though in reality all I felt was fuck and die...
364,2461,Borderlands,1,I feel like I accomplished something here even though now in my reality seemingly all I did here was suffer and die...
